A. E. Rought,813,,,0000000008,0000000001,0000000003,A. E. Rought,,serializeAuthors(A1:B498)
A. Geddes,331,,,0000000003,0000000003,0000000001,A. Geddes,,
A. J. Turner,823,,,0000000008,0000000002,0000000003,A. J. Turner,,
A. S. King,813,,,0000000008,0000000001,0000000003,A. S. King,,
A. Solaimalai,633,,,0000000006,0000000003,0000000003,A. Solaimalai,,
Aamir Rafique Hashmi,338,,,0000000003,0000000003,0000000008,Aamir Rafique Hashmi,,
Aaron Reynolds,598,,,0000005788,0000009411,0000008113,Aaron Reynolds,,
Aaron Reynolds,741,,,0000000008,0000000001,0000000000,Abigail Cheever,,
Aaron Reynolds,811,,,0000003336,0000000041,0000002646,Abigail Cope Saguy,,
Aaron Reynolds,813,,,0000000038,0000000082,0000000043,Adam Abraham,,
Abigail Cheever,810,,,0000000008,0000000001,0000000003,Adam Fawer,,
Abigail Cope Saguy,302,,,0000000003,0000000000,0000000003,Adam J. Berinsky,,
Abigail Cope Saguy,306,,,0000000007,0000000008,0000000001,Adam Miller,,
Abigail Cope Saguy,344,,,0000000033,0000000038,0000000081,Adam Minter,,
Abigail Cope Saguy,616,,,0000000002,0000000005,000000000,Adam N. Joinson,,
Adam Abraham,384,,,0000000006,0000000001,0000000006,Adam Rafalovich,,
Adam Abraham,823,,,0000000009,0000000000,0000000009,Adam Rovner,,
Adam Fawer,813,,,0000007779,0000009991,0000003569,Adam Ward,,
Adam J. Berinsky,303,,,0000000003,0000000003,0000000002,Adam Zoia,,
Adam Miller,781,,,0000000003,0000000002,0000000000,Adi Gordon,,
Adam Minter,338,,,0000000008,0000000006,0000000000,Adolfo Campoy-Cubillo,,
Adam Minter,381,,,0000000059,0000000007,0000000082,Adrian Hepworth,,
Adam N. Joinson,25,,,0000000007,0000000009,0000000002,Adrian Kear,,
Adam Rafalovich,616,,,0000000004,0000000009,0000000001,Adrian Kelly,,
Adam Rovner,909,,,0000000001,0000000003,0000000003,Adrian Lee,,
Adam Ward,793,,,0000000003,0000000006,0000000003,Adrian Smith,,
Adam Ward,795,,,0000000006,0000000002,0000000001,Adrian Thompson,,
Adam Ward,796,,,0000000004,0000000003,0000000008,Adriana Borra,,
Adam Ward,919,,,0000000088,0000000066,0000000039,Adriana Lisboa,,
Adam Zoia,332,,,0000000003,0000000000,0000000005,Adrienne Pine,,
Adi Gordon,320,,,0000000007,0000000004,0000000007,Aerin Lauder,,
Adolfo Campoy-Cubillo,860,,,0000000002,0000000009,0000000009,Agnieszka Halemba,,
Adrian Hepworth,508,,,0000000008,0000000000,0000000009,Agnieszka Łowczanin,,
Adrian Hepworth,972,,,0000000007,0000000009,0000000002,Agustín Zarzosa,,
Adrian Kear,792,,,0000000003,0000000003,0000000001,Ahmed White,,
Adrian Kelly,491,,,0000000008,0000000009,0000000001,Aida Hartmann,,
Adrian Lee,133,,,0000000009,0000000004,0000000004,Aimée Boutin,,
Adrian Smith,363,,,0000000005,0000000001,0000000009,Ajay Ramaswamy Subramanian,,
Adrian Thompson,621,,,0000000003,0000000006,0000000003,Akihisa Mori,,
Adriana Borra,438,,,0000000003,0000000000,0000000006,Akiko Shimizu,,
Adriana Lisboa,863,,,0000000003,0000000009,0000000002,Akiko Takeyama,,
Adriana Lisboa,869,,,0000000078,0000000049,0000000015,Akira Sugano,,
Adrienne Pine,305,,,0000000003,0000000003,0000000006,Alain Deneault,,
Aerin Lauder,747,,,0000000005,0000000003,0000000000,Alain Haché,,
Agnieszka Halemba,299,,,0000033399,0000023444,0000050201,Alan Allport,,
Agnieszka Łowczanin,809,,,0000000007,0000000009,0000000001,Alan Barnes,,
Agustín Zarzosa,792,,,0000000003,0000000000,0000000006,Alan Cecil Petigny,,
Ahmed White,331,,,0000000007,0000000008,0000000000,Alan Charlton,,
Aida Hartmann,891,,,0000000003,0000000007,0000000008,Alan Collinge,,
Aimée Boutin,944,,,0000000008,0000000001,0000000003,Alan Drew,,
Ajay Ramaswamy Subramanian,519,,,0000000004,0000000009,0000000008,Alan Durston,,
Akihisa Mori,363,,,0000000078,0000000082,0000000063,Alan Frederick Shockley,,
Akiko Shimizu,306,,,0000000099,0000000014,0000000042,Alan Hart,,
Akiko Takeyama,392,,,0000000007,0000000005,0000000009,Alan Hayes,,
Akira Sugano,741,,,0000000005,0000000009,0000000005,Alan Henderson,,
Akira Sugano,895,,,0000000008,0000000002,0000000003,Alan Miller,,
Alain Deneault,336,,,0000000436,000000081,000000046,Alan Schwartz,,
Alain Haché,530,,,0000000007,0000000009,0000000006,Alan Shearer,,
Alan Allport,325,,,0000000588,0000000202,000000090,Alberto Gabriele,,
Alan Allport,330,,,0000000007,0000000004,0000000001,Alcante,,
Alan Allport,342,,,0000002277,0000004688,0000002424,Aled Jones,,
Alan Allport,940,,,0000000003,0000000000,0000000004,Alejandro Baer,,
Alan Allport,941,,,0000000001,0000000005,0000000002,Aleksandra Maria Rogowska,,
Alan Barnes,791,,,0000000008,0000000005,0000000003,Alessandra Montrucchio,,
Alan Cecil Petigny,306,,,0000000007,0000000009,0000000001,Alessandra Santos,,
Alan Charlton,780,,,0000000005,0000000009,0000000007,Alessandro De Maddalena,,
Alan Collinge,378,,,0000000003,0000000003,0000000000,Alessandro Fornazzari,,
Alan Drew,813,,,0000000008,0000000006,0000000002,Alessandro Rocco,,
Alan Durston,498,,,0000000078,0000000051,0000000093,Alex Beard,,
Alan Frederick Shockley,786,,,0000000006,0000000001,0000000003,Alex Buckley,,
Alan Frederick Shockley,823,,,0000000006,0000000002,0000000008,Alex De Visscher,,
Alan Hart,914,,,0000007888,0000009122,0000001323,Alex Garland,,
Alan Hart,942,,,0000000008,0000000002,0000000003,Alex George,,
Alan Hayes,759,,,0000000077,0000000049,0000000011,Alex Ross,,
Alan Henderson,595,,,0000000088,0000000002,0000000098,Alex Woloch,,
Alan Miller,823,,,0000003789,0000002921,000000389,Alexander Armstrong,,
Alan Schwartz,4,,,0000000009,0000000000,0000000007,Alexander C. T. Geppert,,
Alan Schwartz,384,,,0000000003,0000000009,0000000001,Alexander Edmonds,,
Alan Schwartz,616,,,0000000008,0000000002,0000000000,Alexander John Dick,,
Alan Shearer,796,,,0000000001,0000000002,0000000008,Alexander M. Schlutz,,
Alberto Gabriele,52,,,0000000009,0000000007,0000000003,Alexander Mendoza,,
Alberto Gabriele,809,,,0000000007,0000000000,0000000000,Alexander Townsend Des Forges,,
Alberto Gabriele,820,,,0000000006,0000000005,0000000008,Alexander Tübke,,
Alcante,741,,,0000000008,0000000001,0000000001,Alexandra Oliver,,
Aled Jones,242,,,0000000088,0000000001,0000000081,Alexandria Peary,,
Aled Jones,264,,,0000000006,0000000002,0000000001,Alexey Kavokin,,
Aled Jones,782,,,0000000003,0000000003,0000000003,Alexis Kwasinski,,
Aled Jones,784,,,0000000007,0000000005,0000000009,Alexis Merle du Bourg,,
Alejandro Baer,304,,,0000000007,0000000004,0000000006,Alfredo Cabrera,,
Aleksandra Maria Rogowska,152,,,0000000009,0000000004,0000000007,Ali Askerov,,
Alessandra Montrucchio,853,,,0000000003,0000000004,0000000003,Ali Haider,,
Alessandra Santos,791,,,0000000003,0000000000,0000000000,Ali Hassan Zaidi,,
Alessandro De Maddalena,597,,,0000000001,0000000007,0000000004,Alice Alessandri,,
Alessandro Fornazzari,330,,,0000000088,0000000022,0000000003,Alice Ferrebe,,
Alessandro Rocco,862,,,0000000008,0000000001,0000000003,Alice Hatcher,,
Alex Beard,759,,,0000000008,0000000002,0000000000,Alice Jenkins,,
Alex Beard,813,,,0000000008,0000000002,0000000003,Alice Petersen,,
Alex Buckley,613,,,0000000003,0000000006,0000000001,Alicia Epstein Korten,,
Alex De Visscher,628,,,0000000003,0000000000,0000000006,Alicia M. Walker,,
Alex Garland,791,,,0000000008,0000000001,0000000003,Alicia Williams,,
Alex Garland,813,,,0000000003,0000000002,0000000000,Alisa Gaunder,,
Alex Garland,822,,,0000000009,0000000001,0000000000,Alisha Ali,,
Alex Garland,823,,,0000000889,0000000224,0000000011,Alison Chapman,,
Alex George,823,,,0000000033,0000000024,0000000031,Alison Duxbury,,
Alex Ross,741,,,0000000003,0000000002,0000000005,Alison Parker,,
Alex Ross,791,,,0000000008,0000000001,0000000003,Alison Umminger,,
Alex Woloch,809,,,0000000008,0000000002,0000000001,Alistair Bullen,,
Alex Woloch,828,,,0000000008,0000000002,0000000001,Alistair Cormack,,
Alexander Armstrong,32,,,0000000003,0000000003,0000000008,Alistair James Hobday,,
Alexander Armstrong,793,,,0000000003,0000000004,0000000002,Alistair MacDonald,,
Alexander Armstrong,828,,,0000000008,0000000002,0000000001,Alistair Noon,,
Alexander Armstrong,919,,,0000000009,0000000003,0000000000,Alistair W. G. Pike,,
Alexander C. T. Geppert,907,,,0000000008,0000000002,0000000003,Alys Einion,,
Alexander Edmonds,391,,,0000000008,0000000009,0000000001,Alyssa Dinega Gillespie,,
Alexander John Dick,820,,,0000000029,0000000087,0000000022,Alyssa Goldstein Sepinwall,,
Alexander M. Schlutz,128,,,0000000003,0000000000,0000000006,Amanda E. Lewis,,
Alexander Mendoza,973,,,0000000009,0000000007,0000000006,Amanda J. Cobb,,
Alexander Townsend Des Forges,700,,,0000000004,0000000001,0000000008,Amanda J. Godley,,
Alexander Tübke,658,,,0000000007,0000000008,0000000001,Amanda J. Weidman,,
Alexandra Oliver,811,,,0000000003,0000000000,0000000002,Amanda Lagerkvist,,
Alexandria Peary,808,,,0000000033,0000000002,0000000000,Amaney A. Jamal,,
Alexandria Peary,811,,,0000000008,0000000002,0000000003,Amanthi Harris,,
Alexey Kavokin,621,,,0000000008,0000000005,0000000003,Amara Lakhous,,
Alexis Kwasinski,333,,,0000000009,0000000007,0000000002,Amber Brian,,
Alexis Merle du Bourg,759,,,0000000038,0000000090,0000000089,Amie A. Doughty,,
Alfredo Cabrera,746,,,0000000005,0000000003,0000000002,Amit Agrawal,,
Ali Askerov,947,,,0000000023,0000000092,0000000077,Amit Bein,,
Ali Haider,343,,,0000000009,0000000005,0000000006,Amneh Daoud Badran,,
Ali Hassan Zaidi,300,,,0000000005,000000000,000000000,Amr Elssamadisy,,
Alice Alessandri,174,,,0000000113,0000000240,0000000625,Amy Allen,,
Alice Ferrebe,820,,,0000000008,0000000002,0000000000,Amy Appleford,,
Alice Ferrebe,823,,,0000000007,0000000000,0000000009,Amy Bessone,,
Alice Hatcher,813,,,0000000008,0000000001,0000000003,Amy Bryant,,
Alice Jenkins,820,,,0000000007,0000000009,0000000001,Amy Cook,,
Alice Petersen,823,,,0000000008,0000000001,0000000001,Amy Fleury,,
Alicia Epstein Korten,361,,,0000000067,0000000030,0000000000,Amy Franceschini,,
Alicia M. Walker,306,,,0000000008,0000000001,0000000008,Amy Hale Auker,,
Alicia Williams,813,,,0000000002,0000000000,000000000,Amy L. Affelt,,
Alisa Gaunder,320,,,0000000033,0000000009,0000000054,Amy L. Best,,
Alisha Ali,910,,,0000000003,0000000004,0000000002,Amy L. Brandzel,,
Alison Chapman,820,,,0000000008,0000000001,0000000001,Amy Moorman Robbins,,
Alison Chapman,821,,,0000000008,0000000006,0000000003,Amy Nauss Millay,,
Alison Chapman,941,,,0000000006,0000000001,0000000008,Amy S. F. Lutz,,
Alison Duxbury,323,,,0000000008,0000000004,0000000003,Amy S. Wyngaard,,
Alison Duxbury,341,,,0000000008,0000000001,0000000003,Ana Menéndez,,
Alison Parker,325,,,0000000089,0000000025,0000000094,Ananya Jahanara Kabir,,
Alison Umminger,813,,,0000000007,0000000009,0000000006,Andre Agassi,,
Alistair Bullen,821,,,0000000003,0000000004,0000000006,André Niedostadek,,
Alistair Cormack,821,,,0000000056,0000000052,0000000012,André Revil,,
Alistair James Hobday,338,,,0000000007,0000000007,0000000009,Andrea Ferrari,,
Alistair MacDonald,342,,,0000000003,0000000004,0000000000,Andrea Guerrero,,
Alistair Noon,821,,,0000000008,0000000001,0000000003,Andrea Kleine,,
Alistair W. G. Pike,930,,,0000000003,0000000006,0000000002,Andrea Rodgers,,
Alys Einion,823,,,0000000007,0000000007,0000000009,Andreas Gefeller,,
Alyssa Dinega Gillespie,891,,,0000000003,0000000004,0000000004,Andreas Grube,,
Alyssa Goldstein Sepinwall,282,,,0000000003,0000000000,0000000007,Andreas Langenohl,,
Alyssa Goldstein Sepinwall,972,,,0000000066,0000000011,0000000025,Andreas Mayer,,
Amanda E. Lewis,306,,,0000000003,0000000006,0000000008,Andreas P. Wesemann,,
Amanda J. Cobb,976,,,0000000007,0000000007,0000000009,Andreas Seibert,,
Amanda J. Godley,418,,,0000000008,0000000009,0000000001,Andreas Vogel,,
Amanda J. Weidman,781,,,0000000133,0000000902,0000000450,Andreea Deciu Ritivoi,,
Amanda Lagerkvist,302,,,0000000079,0000000091,0000000060,Andrew Bain,,
Amaney A. Jamal,300,,,0000000001,0000000009,0000000003,Andrew Carlson,,
Amaney A. Jamal,320,,,0000000003,0000000002,0000000007,Andrew Defty,,
Amanthi Harris,823,,,0000000008,0000000002,0000000003,Andrew Fisher,,
Amara Lakhous,853,,,0000000039,0000000001,0000000062,Andrew Frank,,
Amber Brian,972,,,0000000007,0000000005,0000000009,Andrew Gifford,,
Amie A. Doughty,398,,,0000000088,0000000006,0000000093,Andrew Ginger,,
Amie A. Doughty,809,,,0000000038,0000000062,0000000033,Andrew Glazzard,,
Amit Agrawal,532,,,0000000007,0000000007,0000000009,Andrew Grant,,
Amit Bein,297,,,0000000333,0000000002,0000000360,Andrew Hammond,,
Amit Bein,327,,,0000000008,0000000002,0000000008,Andrew Harley,,
Amneh Daoud Badran,956,,,0000000001,0000000003,0000000003,Andrew Honigman,,
Amr Elssamadisy,5,,,0000000008,0000000002,0000000003,Andrew Humphreys,,
Amy Allen,126,,,0000000001,0000000009,0000000003,Andrew J. Mitchell,,
Amy Allen,142,,,0000000035,0000000000,0000000039,Andrew Jewett,,
Amy Allen,305,,,0000000001,0000000007,0000000009,Andrew Knight,,
Amy Appleford,820,,,0000000036,0000000061,0000000036,Andrew Lakoff,,
Amy Bessone,709,,,0000000033,0000000027,0000000008,Andrew Lawrence Roberts,,
Amy Bryant,813,,,0000000788,0000000922,0000000113,Andrew Murray,,
Amy Cook,791,,,0000000033,0000000033,0000000002,Andrew Palmer,,
Amy Fleury,811,,,0000000056,00000000,00000000,Andrew Parsons,,
Amy Franceschini,630,,,0000000009,0000000001,0000000004,Andrew Princz,,
Amy Franceschini,700,,,0000000016,0000000055,0000000038,Andrew Razeghi,,
Amy Hale Auker,818,,,0000000003,0000000004,0000000006,Andrew Simpson,,
Amy L. Affelt,20,,,0000000003,0000000000,0000000006,Andrew Singleton,,
Amy L. Best,305,,,0000000099,0000000044,0000000001,Andrew Stewart,,
Amy L. Best,394,,,0000000003,0000000006,0000000003,Andrew T. Darien,,
Amy L. Brandzel,342,,,0000000003,0000000000,0000000002,Andrew White,,
Amy Moorman Robbins,811,,,0000000008,0000000001,0000000003,Andromeda Romano-Lax,,
Amy Nauss Millay,863,,,0000000007,0000000009,0000000003,Andy Gavin,,
Amy S. F. Lutz,618,,,0000000007,0000000009,0000000006,Andy Morrison,,
Amy S. Wyngaard,843,,,0000000228,0000000242,0000000083,Andy Robb,,
Ana Menéndez,813,,,0000000003,0000000000,0000000005,Angela Reyes,,
Ananya Jahanara Kabir,829,,,0000000002,0000000004,0000000008,Angelia L. White,,
Ananya Jahanara Kabir,954,,,0000000008,0000000002,0000000003,Angelique Richardson,,
Andre Agassi,796,,,0000000006,0000000001,0000000008,Anil Nair,,
André Niedostadek,346,,,0000000003,0000000000,0000000005,Ann E. Towns,,
André Revil,551,,,0000000008,0000000001,0000000001,Ann Hudson,,
André Revil,622,,,0000000006,0000000001,0000000006,Ann M. Callahan,,
Andrea Ferrari,779,,,0000001133,0000007922,0000007005,Ann Ward,,
Andrea Guerrero,340,,,0000000038,0000000062,0000000043,Anna Blundy,,
Andrea Kleine,813,,,0000000003,0000000006,0000000003,Anna Davies,,
Andrea Rodgers,362,,,0000000037,0000000089,0000000001,Anna Dawson,,
Andreas Gefeller,779,,,0000000008,0000000004,0000000003,Anna Gavalda,,
Andreas Grube,344,,,0000000006,0000000004,0000000001,Anna Hansen,,
Andreas Langenohl,307,,,0000000008,0000000001,0000000003,Anna Kventsel,,
Andreas Mayer,612,,,0000000007,0000000007,0000000009,Anna Malagrida,,
Andreas Mayer,615,,,0000000023,0000000062,0000000014,Anna Maria Grzymała-Busse,,
Andreas P. Wesemann,368,,,0000000003,0000000004,0000000002,Anna O. Law,,
Andreas Seibert,779,,,0000000006,0000000001,0000000003,Anna Richardson,,
Andreas Vogel,891,,,0000000009,0000000004,0000000002,Anna Riehl,,
Andreea Deciu Ritivoi,194,,,0000000003,0000000006,0000000003,Anna Sandiford,,
Andreea Deciu Ritivoi,305,,,0000000039,0000000065,0000000029,Anna Shillabeer,,
Andreea Deciu Ritivoi,320,,,0003345788,0006920912,0002888333,Anna Wilson,,
Andrew Bain,796,,,0000000008,0000000006,0000000003,Anna-Sophia Buck,,
Andrew Bain,910,,,0000000007,0000000000,0000000009,Anne Hardy,,
Andrew Carlson,193,,,0000000001,0000000007,0000000009,Anne Margaret Baxley,,
Andrew Defty,327,,,0000000003,0000000006,0000000002,Anne Reff Pedersen,,
Andrew Fisher,823,,,0000000004,0000000002,0000000007,Annemarie Meichtry-Gruber,,
Andrew Frank,306,,,0000000008,0000000001,0000000003,Annie Nigh Ward,,
Andrew Frank,912,,,0000000008,0000000001,0000000003,Annie Ward,,
Andrew Gifford,759,,,0000000007,0000000009,0000000006,Annika Sorenstam,,
Andrew Ginger,809,,,0000000005,000000000,000000000,Anthony Burke,,
Andrew Ginger,863,,,0000000003,0000000000,0000000006,Anthony D'Andrea,,
Andrew Glazzard,363,,,0000000003,0000000002,0000000003,Anthony J. Langlois,,
Andrew Glazzard,823,,,0000000007,0000000008,0000000002,Anthony Mortimer,,
Andrew Grant,779,,,0000000007,0000000004,0000000001,Anthony Sang,,
Andrew Hammond,303,,,0000000003,0000000006,0000000004,Anthony Thomas,,
Andrew Hammond,306,,,0000000008,0000000001,0000000003,Anthony Varallo,,
Andrew Hammond,320,,,0000000008,0000000004,0000000003,Antoine Bello,,
Andrew Harley,828,,,0000000007,0000000004,0000000001,Antoine Ozanam,,
Andrew Honigman,133,,,0000000003,0000000003,0000000002,Antoine Savine,,
Andrew Humphreys,823,,,0000000003,0000000007,0000000001,Antonio Viego,,
Andrew J. Mitchell,193,,,0000000003,0000000000,0000000002,Antony Bateman,,
Andrew Jewett,303,,,0000000067,0000000092,0000000070,Antony Wood,,
Andrew Jewett,509,,,0000000009,0000000002,0000000000,Aparna Jain,,
Andrew Knight,179,,,0000000002,0000000000,0000000000,Ara Norenzayan,,
Andrew Lakoff,363,,,0000000009,0000000005,0000000008,Arezou Azad,,
Andrew Lakoff,616,,,0000000006,0000000003,0000000006,Ariane Neuber,,
Andrew Lawrence Roberts,320,,,0000000001,0000000001,0000000001,Arianna Betti,,
Andrew Lawrence Roberts,378,,,0000000138,0000000301,0000000353,Ariel Gore,,
Andrew Murray,791,,,0000000399,0000000244,0000000005,Aristotle A. Kallis,,
Andrew Murray,821,,,0000000008,0000000000,0000000009,Arndt Weber,,
Andrew Murray,823,,,0000000005,000000000,000000000,Arno Scharl,,
Andrew Palmer,330,,,0000000003,0000000003,0000000002,Aron Gottesman,,
Andrew Palmer,332,,,0000000005,0000000005,0000000001,Arthur C. Petersen,,
Andrew Parsons,5,,,0000000001,0000000002,0000000001,Arthur Sullivan,,
Andrew Parsons,6,,,0000000006,000000000,000000000,Artur S. D'Avila Garcez,,
Andrew Princz,914,,,0000000001,0000000008,0000000001,Aryeh Tepper,,
Andrew Razeghi,153,,,0000000008,0000000002,0000000003,Ashley Stokes,,
Andrew Razeghi,658,,,0000000003,0000000002,0000000000,Asnake Kefale,,
Andrew Simpson,346,,,0000000008,0000000006,0000000003,Astrid A. Billat,,
Andrew Singleton,306,,,0000000006,0000000001,0000000005,Atanu Biswas,,
Andrew Stewart,940,,,0000000009,0000000004,0000000009,Atka Reid,,
Andrew Stewart,941,,,0000000006,0000000004,0000000001,Audra Morrice,,
Andrew T. Darien,363,,,0000000003,0000000006,0000000002,Audrey Tait,,
Andrew White,302,,,0000000008,0000000002,0000000003,Augusto Chiarle,,
Andromeda Romano-Lax,813,,,0000000003,0000000004,0000000002,Austin Allen,,
Andy Gavin,793,,,0000000333,0000000000,0000000016,Austin Harrington,,
